Mental Model,Category,Subcategory,Type,Key Application,Description,Sources
"10,000 Hour Rule",Skill Development,Deliberate Practice,Learning Principle,,"Approximately 10,000 hours of deliberate practice needed to achieve mastery",99 Mental Models; Angela Duckworth (Grit); Malcolm Gladwell; Malcolm Gladwell (Outliers); Outliers
100+ mental models (contains Parrish Vol 1 + extensive additional models),Comprehensive Reference,Master Database,Reference Database,,,Farnam Street; fs.blog
100+ mental models organized by discipline,Comprehensive Reference,Main Database,Reference Source,,,Farnam Street
1% Rule,Comprehensive List,General,Mental Model,,,99 Mental Models
2×2 Matrix Diagram,Comprehensive List,General,Mental Model,,,80 Useful Mental Models
5 Whys,Key Concepts,Foundational Thinking,Framework,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann)
5 Whys Principle,Problem Analysis,,Problem-Solving Method,,Drill down to root cause,Clear Thinking; SuperThinking
90+ mental models across disciplines,Comprehensive Reference,Curated List,Curated Reference,,,Sloww; sloww.co
99 additional mental models available,Comprehensive Reference,By Rolf Dobelli,Reference Source,,,The Art of Thinking Clearly
99 distinct cognitive biases and thinking errors (separate comprehensive source),Cognitive Biases,Reference,Bias Collection,,,Rolf Dobelli; The Art of Thinking Clearly
Abilene Paradox,Comprehensive,General,Mental Model,,,99 Mental Models; 99 Mental Models Site; 99mentalmodels.com
Ability,Behavior Change,Habit Formation,Behavioral Framework,,,BJ Fogg; Tiny Habits
Ability to Raise Prices,Business & Entrepreneurship,Business Models,Business Model,,,Kevin Espiritu; Mental Models for Business
Accountability Mirror,Self-Assessment,,Self-Improvement Tool,,Face unvarnished truth of current situation to drive change,David Goggins (Can't Hurt Me)
Activation Energy,"Physics, Chemistry, Biology",Chemistry,Chemistry Principle,,Minimum energy required to initiate a process; applies to behavior change,Behavior Science; Chemistry; Great Mental Models Vol 2; Shane Parrish; Shane Parrish (TGMM Vol 2); Shane Parrish Vol 2; SuperThinking
Activation Energy & Catalyst,Key Concepts,System & Natural Dynamics,System Concept,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann)
Active Listening,Comprehensive,General,Mental Model,,,80 Useful Mental Models; 80 Useful Mental Models Blog; hptbydts.com
Ad Hominem Attack,Comprehensive List,General,Mental Model,,,80 Useful Mental Models
Adverse Selection,Economics and Art,Economics,Economic Principle,,Information imbalance worst,Great Mental Models Vol 4; Shane Parrish; Shane Parrish Vol 4
Agricultural Revolution,Historical Turning Points,Social Organization,Historical Framework,,"Shift from hunting-gathering to farming, creating permanent settlements and hierarchies",Sapiens; Yuval Noah Harari; Yuval Noah Harari (Sapiens)
Algorithm-Based Decision Making,Business & Life,Decision Making,Decision Framework,,,Principles; Ray Dalio
Algorithm-Based Decisions,Decisions,Algorithms,Decision Framework,,,Principles; Ray Dalio
Algorithms,Systems and Mathematics,Systems,System Concept,,Methodical decision-making steps,Great Mental Models Vol 3; Shane Parrish; Shane Parrish Vol 3
Alloying,"Physics, Chemistry, Biology",Chemistry,Chemistry Principle,,Combine elements for enhanced properties,Great Mental Models Vol 2; Shane Parrish; Shane Parrish Vol 2
Amygdala Hijack,Comprehensive List,General,Mental Model,,,99 Mental Models
Anchor Effect,Comprehensive,General,Mental Model,,,99 Mental Models; 99 Mental Models Site; 99mentalmodels.com
Anchoring,"Biases, Fallacies & Effects",Behavioral & Social,Bias/Effect,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann)
Anchoring Bias,Cognitive Bias,Reference Points,Cognitive Bias,,Over-relying on first information received as reference point for decisions,"Daniel Kahneman; Daniel Kahneman (Thinking, Fast and Slow); SuperThinking; Thinking, Fast and Slow"
Anecdotal Evidence vs. Empirical Evidence,Comprehensive List,General,Mental Model,,,80 Useful Mental Models
